Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-avuh,checkpoint-nnz8,checkpoint-a42j,checkpoint-dy11,checkpoint-pxfe,checkpoint-2q1l,checkpoint-d6dn,checkpoint-ousn,randomiser-s8gy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
4,1616667348929,25/03/2021 10:15:48,1616667346956,0,25/03/2021 10:15:46,47307,12,task-8w8s,,11303681,5f2b30b6a340af558e1f1d32,3447802,,complete,,605c6218fc835d7b2ae34c05,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,720x688,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,END TASK,,,,,10560,,,,,0,1,0,,,,,,
1,1616667345883,25/03/2021 10:15:45,1616667377905,0,25/03/2021 10:16:17,47307,12,task-8w8s,,11303694,5e72575be8e23118f1a6359b,3447807,,complete,,605c61fa8dc070611a7961ab,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1280x800,1280x636,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1616667352476,25/03/2021 10:15:52,1616667384767,0,25/03/2021 10:16:24,47307,12,task-8w8s,,11303694,5e72575be8e23118f1a6359b,3447807,,complete,,605c61fa8dc070611a7961ab,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1280x800,1280x636,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,Spreadsheet1,1,1,1,checkScreen,script,force_advance,6836.22,,,,,0,1,0,,,,,,fullscreenCheckDisplay
3,1616667352570,25/03/2021 10:15:52,1616667384866,0,25/03/2021 10:16:24,47307,12,task-8w8s,,11303694,5e72575be8e23118f1a6359b,3447807,,complete,,605c61fa8dc070611a7961ab,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1280x800,1280x636,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,Spreadsheet1,1,1,2,checkScreenEnd,Zone1,timelimit_screen,99.85999999999967,,,,,0,1,0,,,1,,,fullscreenCheckDisplay
4,1616667352668,25/03/2021 10:15:52,1616667384870,0,25/03/2021 10:16:24,47307,12,task-8w8s,,11303694,5e72575be8e23118f1a6359b,3447807,,complete,,605c61fa8dc070611a7961ab,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1280x800,1280x636,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,END TASK,,,,,6965,,,,,0,1,0,,,,,,
1,1616667364526,25/03/2021 10:16:04,1616667366977,2,25/03/2021 12:16:06,47307,12,task-8w8s,,11303707,5fbfc10b6e4c4c33c87c186b,3447766,,complete,,605c5facda4ddfd633a4ac1b,computer,Desktop or Laptop,Windows 8.1,Firefox 87.0,1366x768,1366x654,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1616667376784,25/03/2021 10:16:16,1616667379270,2,25/03/2021 12:16:19,47307,12,task-8w8s,,11303707,5fbfc10b6e4c4c33c87c186b,3447766,,complete,,605c5facda4ddfd633a4ac1b,computer,Desktop or Laptop,Windows 8.1,Firefox 87.0,1366x768,1366x654,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,Spreadsheet1,1,1,1,checkScreen,script,force_advance,12192.980000000001,,,,,0,1,0,,,,,,fullscreenCheckDisplay
3,1616667377736,25/03/2021 10:16:17,1616667379364,2,25/03/2021 12:16:19,47307,12,task-8w8s,,11303707,5fbfc10b6e4c4c33c87c186b,3447766,,complete,,605c5facda4ddfd633a4ac1b,computer,Desktop or Laptop,Windows 8.1,Firefox 87.0,1366x768,1366x654,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,Spreadsheet1,1,1,2,checkScreenEnd,Zone1,timelimit_screen,99.95999999999913,,,,,0,1,0,,,1,,,fullscreenCheckDisplay
4,1616667377736,25/03/2021 10:16:17,1616667379382,2,25/03/2021 12:16:19,47307,12,task-8w8s,,11303707,5fbfc10b6e4c4c33c87c186b,3447766,,complete,,605c5facda4ddfd633a4ac1b,computer,Desktop or Laptop,Windows 8.1,Firefox 87.0,1366x768,1366x654,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,END TASK,,,,,12406,,,,,0,1,0,,,,,,
1,1616667376252,25/03/2021 10:16:16,1616667375817,13,25/03/2021 23:16:15,47307,12,task-8w8s,,11303719,5f51928b9cd7773e67c1f84a,3447795,,complete,,605c6072f21a45f085571cd4,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1200,1920x1058,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
