Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-avuh,checkpoint-nnz8,checkpoint-a42j,checkpoint-dy11,checkpoint-pxfe,checkpoint-2q1l,checkpoint-d6dn,checkpoint-ousn,randomiser-s8gy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
2,1616667209687,25/03/2021 10:13:29,1616667209548,1,25/03/2021 11:13:29,47307,12,task-8w8s,,11303556,604009902b22f71c96b10b3f,3447760,,complete,,605c61ba8dc070611a7961aa,computer,Desktop or Laptop,Mac OS 10.14,Firefox 86.0,1280x800,1280x726,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,Spreadsheet1,1,1,1,checkScreen,script,force_advance,10955.759999999998,,,,,0,1,0,,,,,,fullscreenCheckDisplay
3,1616667209855,25/03/2021 10:13:29,1616667209638,1,25/03/2021 11:13:29,47307,12,task-8w8s,,11303556,604009902b22f71c96b10b3f,3447760,,complete,,605c61ba8dc070611a7961aa,computer,Desktop or Laptop,Mac OS 10.14,Firefox 86.0,1280x800,1280x800,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,Spreadsheet1,1,1,2,checkScreenEnd,Zone1,timelimit_screen,100.02000000000044,,,,,0,1,0,,,1,,,fullscreenCheckDisplay
4,1616667209855,25/03/2021 10:13:29,1616667209640,1,25/03/2021 11:13:29,47307,12,task-8w8s,,11303556,604009902b22f71c96b10b3f,3447760,,complete,,605c61ba8dc070611a7961aa,computer,Desktop or Laptop,Mac OS 10.14,Firefox 86.0,1280x800,1280x800,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,END TASK,,,,,11084,,,,,0,1,0,,,,,,
1,1616667234671,25/03/2021 10:13:54,1616667235152,2,25/03/2021 12:13:55,47307,12,task-8w8s,,11303599,604b6c5e2ea9d155393b76b1,3447787,,complete,,605c601c9be32ef976179ad0,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1536x722,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1616667242090,25/03/2021 10:14:02,1616667242594,2,25/03/2021 12:14:02,47307,12,task-8w8s,,11303599,604b6c5e2ea9d155393b76b1,3447787,,complete,,605c601c9be32ef976179ad0,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1536x722,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,Spreadsheet1,1,1,1,checkScreen,script,force_advance,7426.36,,,,,0,1,0,,,,,,fullscreenCheckDisplay
3,1616667242341,25/03/2021 10:14:02,1616667242689,2,25/03/2021 12:14:02,47307,12,task-8w8s,,11303599,604b6c5e2ea9d155393b76b1,3447787,,complete,,605c601c9be32ef976179ad0,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1536x722,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,Spreadsheet1,1,1,2,checkScreenEnd,Zone1,timelimit_screen,99.92000000000007,,,,,0,1,0,,,1,,,fullscreenCheckDisplay
4,1616667242341,25/03/2021 10:14:02,1616667242697,2,25/03/2021 12:14:02,47307,12,task-8w8s,,11303599,604b6c5e2ea9d155393b76b1,3447787,,complete,,605c601c9be32ef976179ad0,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1536x722,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,END TASK,,,,,7545,,,,,0,1,0,,,,,,
1,1616667253166,25/03/2021 10:14:13,1616667254549,0,25/03/2021 10:14:14,47307,12,task-8w8s,,11303616,602ab0d710c7c111e4b81763,3447782,,complete,,605c61a848105b5aa9b8c1cd,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1280x720,1280x646,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1616667259781,25/03/2021 10:14:19,1616667261119,0,25/03/2021 10:14:21,47307,12,task-8w8s,,11303616,602ab0d710c7c111e4b81763,3447782,,complete,,605c61a848105b5aa9b8c1cd,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1280x720,1280x646,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,Spreadsheet1,1,1,1,checkScreen,script,force_advance,6560.46,,,,,0,1,0,,,,,,fullscreenCheckDisplay
3,1616667259881,25/03/2021 10:14:19,1616667261216,0,25/03/2021 10:14:21,47307,12,task-8w8s,,11303616,602ab0d710c7c111e4b81763,3447782,,complete,,605c61a848105b5aa9b8c1cd,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1280x720,1280x646,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,Spreadsheet1,1,1,2,checkScreenEnd,Zone1,timelimit_screen,99.92000000000007,,,,,0,1,0,,,1,,,fullscreenCheckDisplay
