Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-avuh,checkpoint-nnz8,checkpoint-a42j,checkpoint-dy11,checkpoint-pxfe,checkpoint-2q1l,checkpoint-d6dn,checkpoint-ousn,randomiser-s8gy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1616667754271,25/03/2021 10:22:34,1616667754239,-7,25/03/2021 03:22:34,47307,12,task-jd1t,,11304068,60599e03c1a5dcba6068ca40,3447883,,complete,,605c613d1183ec584424d5e0,computer,Desktop or Laptop,Windows 7,Firefox 87.0,1366x768,1366x664,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667793261,25/03/2021 10:23:13,1616667793167,1,25/03/2021 11:23:13,47307,12,task-jd1t,,11304091,5fcf63c45c1f7701611fb6ab,3447874,,complete,,605c61858d9cc17eb575c599,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1920x910,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667831306,25/03/2021 10:23:51,1616667830568,0,25/03/2021 10:23:50,47307,12,task-jd1t,,11304123,5f849dfdb3a48f1276848897,3447893,,complete,,605c6266ed57214c6ab4041e,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1280x800,1280x666,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616668428415,25/03/2021 10:33:48,1616668428281,0,25/03/2021 10:33:48,47307,12,task-jd1t,,11304630,5d947f03024f0d00191c9f80,3447937,,complete,,605c5ec7ac5d263773f8f2da,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1366x768,1366x626,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616676216757,25/03/2021 12:43:36,1616676218472,0,25/03/2021 12:43:38,47307,12,task-jd1t,,11311473,5f323237a6342a17e390a7c8,3449769,,complete,,605c84e98fc6a4614df0afce,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1920x938,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616680142995,25/03/2021 13:49:02,1616680142868,0,25/03/2021 13:49:02,47307,12,task-jd1t,,11314466,5deb9c5a4de9422935efe5e7,3450488,,complete,,605c9403b02e247dc7dbb62f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 86.0,1920x1080,1439x725,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616680213591,25/03/2021 13:50:13,1616680214383,0,25/03/2021 13:50:14,47307,12,task-jd1t,,11314583,5ccb5e96bca87900161275c2,3450498,,complete,,605c94037bacfef4c727efbf,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1536x750,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616680226995,25/03/2021 13:50:26,1616680226466,0,25/03/2021 13:50:26,47307,12,task-jd1t,,11314613,5fcebf39b1ce991897820e1a,3450524,,complete,,605c9446113bd2069636d5b7,computer,Desktop or Laptop,Windows 10,Firefox 85.0,2560x1440,2560x1326,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616680243543,25/03/2021 13:50:43,1616680242390,0,25/03/2021 13:50:42,47307,12,task-jd1t,,11314650,562a00dac8ffc20012513fbe,3450552,,complete,,605c94022753e12fa1dbe6d5,computer,Desktop or Laptop,Linux x86_64,Firefox 86.0,1920x1080,980x472,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616680549593,25/03/2021 13:55:49,1616680498181,0,25/03/2021 13:54:58,47307,12,task-jd1t,,11315201,5efb35574bdb3e05dfa40b6e,3450675,,complete,,605c942626071083ab0fcd69,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1366x768,1366x654,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
